Anika,	 4,	36,	19,	32
Anvi,	42,	14,	47,	 7
Aradhya,	 5,	 4,	48,	11
Bhavya,	22,	28,	49,	43
Charvi,	46,	18,	40,	22
Drishya,	11,	10,	 5,	 1
Eva,	11,	30,	28,	 5
Hrishita,	20,	36,	44,	26
Inaaya,	22,	15,	 8,	16
Ira,	32,	 8,	24,	37
Jivika,	12,	24,	 0,	36
Jiya,	 2,	49,	29,	 0
Kashvi,	18,	21,	23,	31
Kavya,	31,	30,	33,	44
Keya,	10,	13,	49,	31
Khushi,	49,	46,	 9,	23
Kiara,	13,	18,	40,	45
Mahika,	26,	16,	34,	40
Mishti,	40,	34,	26,	42
Myra,	36,	 7,	45,	 6
Navya,	29,	18,	37,	12
Neysa,	48,	22,	 9,	 9
Nitya,	36,	10,	42,	37
Pari,	 6,	 1,	13,	22
Parinaaz,	21,	 5,	19,	49
Pihu,	21,	 4,	39,	11
Prisha,	40,	17,	 5,	28
Riya,	27,	 0,	34,	 8
Saanvi,	20,	24,	22,	19
Samaira,	46,	31,	30,	34
Sana,	42,	22,	22,	 0
Sara,	25,	35,	22,	49
Shanaya,	40,	42,	48,	13
Siya,	48,	40,	24,	40
Tanya,	 9,	31,	19,	36
Tara,	32,	 5,	44,	 4
Tiya,	29,	19,	23,	26
Vanya,	 0,	 5,	10,	42
Vardaniya,	29,	34,	43,	 5
Vedika,	21,	17,	 4,	13
Vritika,	11,	 4,	26,	 9
Yashvi,	44,	 2,	 2,	 6
Zara,	34,	21,	42,	18
Zara,	28,	39,	22,	 8



